tw_id,text,location,long,lat
972333494289367041,"#BCEagles fan fever dream is Penn failing to win the Ivy League Tournament, grabbing the last NIT AQ and pushing BC? https://t.co/zzc7pENqUn","Belmont, CA",,
972328521497546752,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972320306726449152,Sabtu kene kerje and it sucks when u have fever,SAC,,
972319870107795457,About to do my own @neverseenitshow with ?Saturday Night Fever? which I assume is about a deadly disease that goes after NYC disco fans,"San Francisco, CA",,
972319852483375104,A normal temperature for a dog is 100-102.5.  And I literally looked at my nurse like she was crazy when she told m? https://t.co/waL9OvjM4o,"Sacramento, CA",,
972318985432711168,"@damienbarling @GTemp14 Yo, what came first? Jungle Fever or Boomerang?","Sacramento, CA",,
972310174638604288,RT @alyssaxbarroga: My baby fever is so bad ????.,,,
972308630241345537,"Thank you, again @Flipgrid for the amazing #swag for my #FlipgridFever PD session @YCUSD I can?t say enough about t? https://t.co/WdEn8mDD7H","Sacramento, CA",,
972305836277207041,Now playing Fever by The Cristeas!,"San Francisco, CA U.S.A.",,
972301580107001856,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",India,,
972300975900905472,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/NQJZgRpTw5","San Francisco, CA",,
972299882277949441,My baby fever is so bad ????.,Sac,,
972298621164097536,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Rio de Janeiro, Brazil",,
972297605022736384,RT @samesfandiari: I often feel chris paul is angriest at his height,,,
972294935310249984,Wow. My typos go through the roof when I'm nervous! Or maybe it's my fever ?.,"San Francisco, CA",,
972292296484913153,Teenage Fever by drake will always have a special place in my heart...,"San Jose, CA",,
972291817252114432,"People are having baby fever and I'm over here having puppy fever, but no one will get me one?","San Francisco, California ",,
972290963031732224,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Streetsboro, Ohio",,
972289346198962176,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Americana, SP, Brasil",,
972287035003174912,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",San Francisco,,
972282766002880513,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Sao Paulo, Brasil",,
972282635404922880,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Cabo Frio, Brasil",,
972282517251346432,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",Brasil,,
972282508669800449,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
