tw_id,text,location,long,lat
972531933384269824,"RT @joneaux: america is a demonic war state, capitalism is a virus, and i am going to be positive today anways","Asheville, NC",,
972531829126279168,"RT @knowablemag: Researchers are racing to find a treatment for a liver disease so elusive, few people know they have it. It?s not from a v?",Canada,,
972531183572717568,Once .Micro file virus aka fichier .Micro have accessed your computer (for how that may have happened you can read? https://t.co/qP9A2kOcBJ,"San Francisco, California",,
972527778904997888,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?","Edmonton, AB, Canada",,
972524775091441671,"RT @treehcapital: Terrific from @ericlonners, especially this: ?Measurement and vast quantities of data, are a recipe for pseudo-science an?",,,
972522080167063552,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972518644050776064,RT @NaduMadawala: @EXOL_BD @weareoneEXO Happy virus #EXOL #iHeartAwards #BestFanArmy @weareoneEXO,,,
972518518980661248,@EXOL_BD @weareoneEXO Happy virus #EXOL #iHeartAwards #BestFanArmy @weareoneEXO,"San Francisco, USA",,
972515852225454080,RT @PLOSNTDs: New research: #Zika virus epidemiology in Bolivia https://t.co/P56XYjIv4G https://t.co/NB0Q5xIikG,"Seattle, WA",,
972515547375005696,"america is a demonic war state, capitalism is a virus, and i am going to be positive today anways","Oakland, CA",,
972514975574122497,RT @gabrielfoley: A Pond-Dwelling Virus ...Antibiotic-Resistant Infection Good News https://t.co/pHsLO4SCZh via @Futurism,,,
972504217486274562,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972490615010287617,Get activate data back! Data recover your windows data that was lost due to virus attack phoenix damaging due to ha? https://t.co/tGbckwXqPd,"San Francisco, California",,
972476007574790144,@IamBossTreb At least free from virus. Hahahahahaa,"Belmont, CA",,
972456944089919488,RT @PLOSPathogens: New Research: Lung macrophage scavenger receptor SR-A6 (MARCO) is an adenovirus type-specific virus entry receptor https?,"Cardiff, Wales",,
972446821221007360,"@QwizwizzyGaming Uh-oh! Could you try the steps in this article after disabling anti virus, firewalls, and other se? https://t.co/z4QmX09NLe","San Francisco, CA",,
972443354016477184,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?","Atlanta, GA",,
972432662060134400,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt",Ontario,,
972431561273389059,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Edmonton, Alberta",,
972430270015025153,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt",,,
972422369850650624,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?","Monkton, Vermont",,
972412007101157376,RT @gabrielfoley: A Pond-Dwelling Virus ...Antibiotic-Resistant Infection Good News https://t.co/pHsLO4SCZh via @Futurism,South East US,,
972397098959327232,"@Metharill Can you try following the steps in this article after disabling anti virus, firewalls, and other securit? https://t.co/NyyHOnNTOZ","San Francisco, CA",,
972392304005795840,American Army's Biological Division in failure to invent a racially selective virus that strategically targeted bla? https://t.co/1ZKPNflCiQ,Edenvale,,
972381129020989440,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt",,,
972369095562801152,RT @PLOSPathogens: New Research: Lung macrophage scavenger receptor SR-A6 (MARCO) is an adenovirus type-specific virus entry receptor https?,Edinburgh,,
972341971766329345,My last project w/ the @NF_Steinmetz lab @CWRU is online! We showed that assemblies of plant viruses and dendrimers? https://t.co/q1FrR8KhQq,"Berkeley, CA",,
